"ID","Name","Sex","Age","Height","Weight","Team","NOC","Year","Season","Sport","Event","Country","host","TeamEvent","n_medals"
104227,"Timur Marselevich Safin",1,31,182,82,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,1
17585,"Alexandre Camargo",1,25,177,75,"Other","BRA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
75935,"Anna Mrton",0,29,180,70,"Hungary","HUN",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
20427,"Aleksey Borisovich Cheremisinov",1,39,183,75,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
114700,"Benjamin Steffen",1,42,189,78,"Other","SUI",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
18840,"Andrea Cassar",1,40,193,93,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,3
2207,"Ayman Alaa El-Din Mohamed Fayez",1,33,181,72,"Other","EGY",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
68620,"Charlotte Lembach",0,36,164,57,"France","FRA",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",1,1,0
74130,"Auriane Mallo",0,30,180,63,"France","FRA",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",1,0,0
8946,"Sandro Bazadze",1,31,193,88,"Other","GEO",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
39802,"Tiffany Groudet",0,37,170,68,"Other","SUI",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
101785,"John dison Rodrguez Quevedo",1,33,205,102,"Other","COL",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
127566,"Vasiliki Vougiouka",0,38,181,70,"Other","GRE",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
119642,"Ysaora Jennifer Thibus",0,32,174,59,"France","FRA",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",1,0,0
61806,"Olga Aleksandrovna Kochneva",0,36,168,58,"Other","RUS",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
495,"Alaaeldin Ahmad El-Sayyid Abouelkassem",1,33,188,87,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
51134,"Kelley Anne Hurley",0,36,175,75,"United States","USA",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
45138,"Laurence Halsted",1,40,185,85,"Great Britain","GBR",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
109674,"Shi Jialuo",1,31,184,71,"Other","CHN",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
91495,"Park Gyeong-Du",1,40,177,77,"Other","KOR",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
86206,"Bohdan Sergiyevych Nikishyn",1,44,188,85,"Other","UKR",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
43412,"Gu Bon-Gil",1,35,182,70,"Other","KOR",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,1
95300,"Paolo Pizzo",1,41,180,70,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
131654,"Dagmara Wozniak (Woniak-)",0,36,173,81,"United States","USA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
52053,"Gza Imre",1,49,184,75,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,3
71060,"Tatyana Yuryevna Logunova",0,44,174,62,"Other","RUS",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,2
1730,"Monica Aksamit",0,34,183,74,"United States","USA",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,1
41656,"rsula Sarah Gonzlez Garate",0,32,171,71,"Other","MEX",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
68588,"Olha Oleksandrivna Leleiko",0,47,178,68,"Other","UKR",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
64399,"Richard Adam Kruse",1,41,190,84,"Great Britain","GBR",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
13908,"Ins Boubakri",0,35,167,56,"Other","TUN",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,1
2082,"Lubna Al-Omair",0,37,152,45,"Other","KSA",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
78380,"Guilherme Melaragno",1,30,184,88,"Other","BRA",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
110915,"Sin A-Lam",0,37,168,56,"Other","KOR",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
27750,"Eli Dershwitz",1,28,185,77,"United States","USA",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
47885,"Anatoliy Anatoliyovych Herei",1,35,186,75,"Other","UKR",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
19644,"Miles Cleveland Chamley-Watson",1,34,193,80,"United States","USA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
110915,"Sin A-Lam",0,37,168,56,"Other","KOR",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,1
32480,"Irina Embrich (Zamkovaja-)",0,44,170,54,"Other","EST",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
104227,"Timur Marselevich Safin",1,31,182,82,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,2
51133,"Courtney Lyn Hurley",0,33,173,80,"United States","USA",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,1
71060,"Tatyana Yuryevna Logunova",0,44,174,62,"Other","RUS",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,2
91120,"Kseniya Hennadivna Panteleieva",0,30,168,75,"Other","UKR",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
80922,"Noura Mohamed",0,26,173,60,"Other","EGY",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
17863,"Marie-Florence Candassamy",0,33,185,74,"France","FRA",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",1,1,0
60761,"Erika Kirpu",0,32,174,61,"Other","EST",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
87174,"Nikolai Novosjolov",1,44,191,93,"Other","EST",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
124579,"Saskia Loretta van Erven Garca",0,36,175,64,"Other","COL",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
57230,"Kang Young-Mi",0,39,164,63,"Other","KOR",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
93550,"Ghislain Gabriel Perrier",1,37,179,75,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
38841,"Daniele Garozzo",1,31,177,65,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,1
107837,"Athos Marangon Schwantes",1,39,190,85,"Other","BRA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
105556,"Andrea Santarelli",1,31,184,76,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
51389,"Hwang Seo-Na",0,34,163,55,"Other","KOR",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
36475,"Tarek Fouad Muhammad Kamil Ayad",1,37,180,75,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
90667,"Seyed Ali Pakdaman Esmaeilzadeh",1,33,193,94,"Other","IRI",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
133079,"Yoon Ji-Su",0,31,170,60,"Other","KOR",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
57230,"Kang Young-Mi",0,39,164,63,"Other","KOR",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
59512,"Maksym Volodymyrovych Khvorost",1,42,186,85,"Other","UKR",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
69929,"Francisco Alberto Limardo Gascn",1,37,180,75,"Other","VEN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
59280,"Anissa Khelfaoui (-Nassonenko)",0,32,168,62,"Other","ALG",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
61435,"Edina Monika Knapek",0,46,166,53,"Hungary","HUN",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
96112,"Simona Pop (Deac-)",0,35,178,62,"Other","ROU",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
96112,"Simona Pop (Deac-)",0,35,178,62,"Other","ROU",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
12574,"Gbor Gyula Boczk",1,47,192,89,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,1
131654,"Dagmara Wozniak (Woniak-)",0,36,173,81,"United States","USA",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,1
106488,"Fernando Augusto Dias Scavasin",1,39,184,80,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
56091,"Bogna Jwiak",0,41,182,80,"Other","POL",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
9612,"Julia Beljajeva",0,32,176,70,"Other","EST",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
9612,"Julia Beljajeva",0,32,176,70,"Other","EST",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
51133,"Courtney Lyn Hurley",0,33,173,80,"United States","USA",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
20427,"Aleksey Borisovich Cheremisinov",1,39,183,75,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
120774,"Kenta Tokunan",1,36,183,83,"Other","JPN",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
4442,"Vadim Vladimirovich Anokhin",1,32,192,91,"Other","RUS",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
14698,"Ana Maria Florentina Brnz-Popescu",0,39,175,64,"Other","ROU",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,1
59209,"Olha Hennadivna Kharlan",0,33,172,68,"Other","UKR",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,3
80887,"Aida Gabriella Mohamed",0,48,162,57,"Hungary","HUN",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
89932,"Yuki Ota",1,38,171,69,"Other","JPN",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,2
73068,"Leonora Mackinnon",0,30,180,80,"Other","CAN",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
56091,"Bogna Jwiak",0,41,182,80,"Other","POL",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
107837,"Athos Marangon Schwantes",1,39,190,85,"Other","BRA",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
76230,"Alexander Chen Massialas",1,30,188,81,"United States","USA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,1
91120,"Kseniya Hennadivna Panteleieva",0,30,168,75,"Other","UKR",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
34717,"Fares Al-Ferjani",1,27,175,60,"Other","TUN",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
47325,"Max Heinzer",1,36,178,77,"Other","SUI",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
67538,"Erwann Lucien douard Le Pchoux",1,42,171,65,"France","FRA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",1,0,0
47325,"Max Heinzer",1,36,178,77,"Other","SUI",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
54630,"Daniel Jrent",1,33,189,84,"France","FRA",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",1,0,0
20194,"Chen Haiwei",1,29,188,78,"Other","CHN",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
121073,"Jean-Paul Tony Helissey",1,34,177,77,"France","FRA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",1,1,1
17863,"Marie-Florence Candassamy",0,33,185,74,"France","FRA",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",1,0,0
93550,"Ghislain Gabriel Perrier",1,37,179,75,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
10960,"Sarra Besbes",0,35,175,62,"Other","TUN",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
65322,"Kristina Kuusk",0,38,180,74,"Other","EST",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
17238,"Jrmy Cadot",1,37,185,78,"France","FRA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",1,0,0
86206,"Bohdan Sergiyevych Nikishyn",1,44,188,85,"Other","UKR",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
45138,"Laurence Halsted",1,40,185,85,"Great Britain","GBR",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
67572,"Antonio Junior Leal Pia",1,37,165,60,"Other","VEN",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
78380,"Guilherme Melaragno",1,30,184,88,"Other","BRA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
69929,"Francisco Alberto Limardo Gascn",1,37,180,75,"Other","VEN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
14698,"Ana Maria Florentina Brnz-Popescu",0,39,175,64,"Other","ROU",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,2
45408,"Mohamed Hamza",1,23,172,62,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
17238,"Jrmy Cadot",1,37,185,78,"France","FRA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",1,1,1
45877,"Hao Jialu",0,36,176,66,"Other","CHN",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
43311,"Gauthier Grumier",1,40,188,83,"France","FRA",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",1,0,1
63541,"Magorzata Kozaczuk",0,36,169,62,"Other","POL",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
32480,"Irina Embrich (Zamkovaja-)",0,44,170,54,"Other","EST",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
91583,"Park Sang-Young",1,28,177,73,"Other","KOR",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,1
21023,"Choi In-Jeong",0,34,174,59,"Other","KOR",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
68620,"Charlotte Lembach",0,36,164,57,"France","FRA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",1,0,0
1203,"Renzo Pasquale Zeglio Agresta",1,39,181,76,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
64451,"Olena Serhivna Kryvytska",0,37,174,62,"Other","UKR",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
21173,"Alexander Choupenitch",1,30,196,89,"Other","CZE",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
13652,"Peer Borsky",1,33,192,80,"Other","SUI",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
4442,"Vadim Vladimirovich Anokhin",1,32,192,91,"Other","RUS",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
109527,"Yana Volodymyrivna Shemiakina",0,38,168,60,"Other","UKR",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
52053,"Gza Imre",1,49,184,75,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,4
44239,"Astrid Murielle Guyart",0,41,174,59,"France","FRA",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",1,0,0
11273,"Ilaria Bianco",0,44,165,55,"Italy","ITA",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
86515,"Shiho Nishioka",0,35,169,60,"Other","JPN",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
117523,"ron Szilgyi",1,34,180,78,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,2
127659,"V Thnh An",1,31,185,80,"Other","VIE",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
86770,"Nozomi Nokano-Sato",0,38,173,61,"Other","JPN",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
111318,"Hamid (Victor-) Sints",1,43,169,67,"Other","ALG",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
34718,"Mohamed Ayoub Al-Ferjani",1,38,185,88,"Other","TUN",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
60761,"Erika Kirpu",0,32,174,61,"Other","EST",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
38841,"Daniele Garozzo",1,31,177,65,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
17837,"Kelvin Jos Caa Infante",1,36,173,72,"Other","VEN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
41227,"Carolin Elisabeth Golubytskyi (Wutz-)",0,38,167,57,"Germany","GER",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
38842,"Enrico Garozzo",1,35,190,70,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
109527,"Yana Volodymyrivna Shemiakina",0,38,168,60,"Other","UKR",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,1
127503,"Olena Oleksandrivna Voronina",0,34,165,65,"Other","UKR",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,1
27713,"Inna Vasilyevna Deriglazova",0,34,173,61,"Other","RUS",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,2
112678,"Aleksandra Anna Socha (-Szelagowski)",0,42,174,66,"Other","POL",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
70689,"Liu Yongshi",0,34,176,62,"Other","CHN",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
63541,"Magorzata Kozaczuk",0,36,169,62,"Other","POL",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
76230,"Alexander Chen Massialas",1,30,188,81,"United States","USA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,2
495,"Alaaeldin Ahmad El-Sayyid Abouelkassem",1,33,188,87,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,1
4646,"Chika Aoki",0,34,158,54,"Other","JPN",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
54630,"Daniel Jrent",1,33,189,84,"France","FRA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",1,1,1
78281,"Gerek Lin Meinhardt",1,34,183,80,"United States","USA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
5277,"Tania Karina Arrayales Macas",0,28,158,53,"Other","MEX",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
12574,"Gbor Gyula Boczk",1,47,192,89,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,2
79400,"Nataly de la Luz Michel Silva",0,34,171,62,"Other","MEX",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
112678,"Aleksandra Anna Socha (-Szelagowski)",0,42,174,66,"Other","POL",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
57571,"Dmytro Mykolaiovych Kariuchenko",1,44,179,79,"Other","UKR",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
6198,"Julin Ayala Navarrete",1,32,171,80,"Other","MEX",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
93280,"Mara Beln Prez Maurice",0,39,180,68,"Other","ARG",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
80820,"Nathalie Marie Moellhausen",0,38,177,63,"Other","BRA",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
29842," Th Anh",0,28,165,58,"Other","VIE",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
81456,"Aldo Montano",1,45,184,82,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,4
62433,"Man Wai ""Vivian"" Kong",0,30,178,66,"Other","HKG",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
64399,"Richard Adam Kruse",1,41,190,84,"Great Britain","GBR",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
125779,"Sofiya Aleksandrovna Velikaya",0,39,175,70,"Other","RUS",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,2
26949,"Tams Decsi",1,41,178,82,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
67538,"Erwann Lucien douard Le Pchoux",1,42,171,65,"France","FRA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",1,1,1
116303,"Pavel Vladimirovich Sukhov",1,36,179,75,"Other","RUS",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
120793,"Guilherme Amaral Toldo",1,31,176,70,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
5277,"Tania Karina Arrayales Macas",0,28,158,53,"Other","MEX",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
99485,"Andrs Rdli",1,40,193,83,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
14215,"Alexandre Bouzaid",1,43,168,75,"Other","SEN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
43835,"Maria Loreta Gulotta",0,37,174,63,"Italy","ITA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
79907,"Katherine Miller",0,30,180,74,"Other","BRA",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
54558,"Jeong Jin-Seon",1,40,185,83,"Other","KOR",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
43311,"Gauthier Grumier",1,40,188,83,"France","FRA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",1,1,2
17512,"Mlina Clugreanu",0,27,176,66,"Other","ROU",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
133685,"Mariel Leigh Zagunis",0,39,173,72,"United States","USA",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,4
64451,"Olena Serhivna Kryvytska",0,37,174,62,"Other","UKR",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
1649,"Artur Kamilevich Akhmatkhuzin",1,36,187,79,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
68450,"Lei Sheng",1,40,193,77,"Other","CHN",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
51134,"Kelley Anne Hurley",0,36,175,75,"United States","USA",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,1
